geolocation_id,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1,1001,-23.550189776551765,-46.6340235559042,sao paulo,SP
2,1002,-23.54814573176355,-46.63497921074498,sao paulo,SP
3,1003,-23.54899372481316,-46.635731309975874,sao paulo,SP
4,1004,-23.549798842277006,-46.63475694378971,sao paulo,SP
5,1005,-23.549456199830747,-46.63673294803691,sao paulo,SP
6,1006,-23.55010181145287,-46.636136735174176,sao paulo,SP
7,1007,-23.550046202351663,-46.637251459637646,sao paulo,SP
8,1008,-23.54600174938346,-46.63588592135778,sao paulo,SP
9,1009,-23.546835208320868,-46.636490695312204,sao paulo,SP
10,1010,-23.54638943836927,-46.635226081509046,sao paulo,SP
11,1011,-23.54690864025111,-46.63558202636042,sao paulo,SP
12,1012,-23.547789733146864,-46.63485900505736,são paulo,SP
13,1013,-23.5471420283239,-46.63423580006204,sao paulo,SP
14,1014,-23.545912805690417,-46.63361537124495,sao paulo,SP
15,1015,-23.54766574938348,-46.63155857072268,sao paulo,SP
16,1016,-23.54897640702995,-46.63235192955855,sao paulo,SP
17,1017,-23.54953127194786,-46.63102384555224,são paulo,SP
18,1018,-23.550928517909007,-46.63243146837755,sao paulo,SP
19,1019,-23.551774137807584,-46.63089338270138,sao paulo,SP
20,1020,-23.55233565155142,-46.630049709845736,são paulo,SP
21,1021,-23.543000459064807,-46.63214323386248,sao paulo,SP
22,1022,-23.544921826153427,-46.631931335611945,sao paulo,SP
23,1023,-23.542330784361457,-46.63137340438761,sao paulo,SP
24,1024,-23.54140143278026,-46.62990400057277,são paulo,SP
25,1025,-23.540291945676326,-46.630928059419446,sao paulo,SP
26,1026,-23.539657127270942,-46.6318842127058,são paulo,SP
27,1027,-23.538082328385336,-46.6306686750678,sao paulo,SP
28,1028,-23.535932541180536,-46.63355514575825,sao paulo,SP
29,1029,-23.54137304898053,-46.63341598844303,sao paulo,SP
30,1030,-23.53954929175343,-46.633023251513535,são paulo,SP
31,1031,-23.54190585344045,-46.63508761691669,sao paulo,SP
32,1032,-23.540124454559955,-46.63519354379768,sao paulo,SP
33,1033,-23.539271437077804,-46.635878084214845,sao paulo,SP
34,1034,-23.542515317419948,-46.63736744880091,sao paulo,SP
35,1035,-23.541614488738944,-46.64154914252652,sao paulo,SP
36,1036,-23.541648452336283,-46.641443277359336,sao paulo,SP
37,1037,-23.54541101645408,-46.63892437204838,sao paulo,SP
