order_id,payment_sequential,payment_type_id,payment_installments,payment_value
64a0069bcf4240b9246d1f9b7ed61825a,1,2,1,57.6
408049720996030bf12798d1338df7a1a,1,1,3,156.64
67274e3826cb110f3d0cb45f33c2275ea,1,1,1,39.48
97823d6731e59cd6b4f9d3ea113a976ea,1,1,3,30.69
67be6410d453784501c125d4f0ecb741a,1,1,4,785.2
f176421e9956528da385eb686f70b7c1a,1,1,1,73.54
97b7decf3d24b8e8db00cab51c75c372a,1,2,1,66.67
75c84c78ed440df887c1dd6d38311dcaa,1,1,1,42.86
23d5d28c2bf332ea0034ec9ec17437f9a,1,1,1,22.56
44d9570957b8244670f565604344b98ea,1,1,6,189.38
ee3565d2a50b87870c5b752412c360e6a,1,1,5,55.59
a611e6af3e6a868d568a1ad2cf45c9bba,1,1,10,109.97
8d5f27735f3694d8dfef2dedd96cc814a,1,1,1,100.18
91d8a1dadf0fcb4bdf82d88e8b82e9b9a,1,1,2,51.92
a187f41f4cc3a98eaf1e82f8b79c6fb2a,1,1,2,52.91
58fcb8ce8784213ace394e1427f50fb7a,1,1,1,62.28
44be4d9e90301dc9a8eb965d2004f321a,1,1,10,314.43
cdf3be569e5ffb3e78f84d92c20336a7a,1,2,1,41.22
4bfda23ff0ed8665aa9113bfb4130bf3a,1,1,4,682.98
39f59663a51684e7a63cb122f615af62a,1,2,1,218.07
0524a4740833e4c479484d6fd2735725a,1,1,2,158.01
74973f83083be040a56dfc7209f45fc8a,1,1,2,193.3
7634e73e9ffe0ab30e3e99dc3f5a6d1ea,1,2,1,92.32
04d3e9115c05c6494aa7c1063f96db5ea,1,1,2,69.99
075e94be744f3e28a18d6ea444785f45a,1,1,9,350.52
766033ca0a01f26b46dfccd2ee59cf9ca,1,1,3,66.12
7ecf083716ec54fd45fc322a9ecd0e23a,1,1,1,16.39
b7eb76cd1ae26b1860fbfa21b819b4e1a,1,1,2,186.26
fb44e4ed3e78403652d50fcf506de1baa,1,1,1,103.28
cd201e0f6a37139084fa4f76f87e684da,1,1,1,231.33
3899c98e47bec0b8dc7d92daa46ee1eda,1,1,3,183.77
5b9b46528e4b091b07263899854f79f2a,1,2,1,73.71
72e596b33c9f3a4e002d73bd5d7c6caea,1,1,1,561.68
14dca2543b44a6699edcca2bd49b261aa,1,1,2,198.34
93d1d708e3c14a6565de485c5f62b516a,1,2,1,44.3
1ade3ab91063ad2d577331b0258b1120a,1,1,8,211.97
6ac314f1970b39cf3b7760803caf3c23a,1,2,1,131.88
5971f2b65e9c6f58aca350ec6674905da,1,1,1,43.17
3ebce4ad057096fca374d43a261707b6a,1,1,1,498.14
92f53cdbef0f16b315c62faa337c4672a,1,1,4,178.03
f53fee7428c6bc090f954df111b6e0f0a,1,1,4,318.3
fbaf27e77414fafd620939df6eeb37f0a,1,1,1,78.69
39150b4f907db051ca186924bc4c7653a,1,1,3,120.72
03798f08af4c622b81b2c8f46c8bfba9a,1,1,2,132.9
af3b41ce890eefbd6ee273bf7df396dca,1,1,1,37.58
dbcdd36c9c9608e8f8b678b63979aea6a,1,2,1,264.07
61adc85552ac2f95e8d9ce8274b3bdafa,1,1,1,41.49
996c7e73600ad3723e8627ab7bef81e4a,1,1,10,664.43
ae8423bae5771609a19bafe9b114a60ea,1,2,1,53.76
010d6db2f77220b394f147836c94f27ba,1,1,1,30.13
d199e989bbb5f7b410c1a717d589499ea,1,1,1,87.83
29215b35ce6dc3c65c05c30d6e736e65a,1,1,2,74.19
eba75422c6a2414d3cd8289123e64200a,1,2,1,140.67
de6167039d6c71c0bea5a5d3b9437082a,1,1,1,99.65
4d0bd88af1748e0658ddfad3100b2958a,1,1,2,479.44
240ead1a7284667e0ec71d01f80e4d5ea,1,2,1,74.76
8c08046423760b49c5791fa64db061daa,1,2,1,559.23
7c9b63669cf62dd8d1ed4d40d5bf953aa,1,1,8,196.66
fd6490ff0d0a47338582b893c79863fea,1,1,5,126.86
58fda12832cc512415ef25b96f1638b4a,1,1,1,125.26
a7c96c67b28612698cc5e0fb735dad94a,1,1,1,72.98
02ae2a6d1d1f1432dc743ca4f67033dfa,1,1,3,174.21
393e01721bf0c84196ccd4b423b53798a,1,1,8,643.89
c290bbb6c874ec2f6b428b6fe1f1887ba,1,2,1,90.49
6b06756efe3332c1b68920df3c2d5864a,1,1,4,65.63
d9770884f02a4e0d5e0f9d8fc5f5b9c4a,1,1,1,73.15
c3d8d92b4371e7710cdc67fcb1f49a34a,1,1,3,33.06
77d6b708885d2096c60a2c70d6339b47a,1,1,8,320.1
09ca36d55d4afbcc785cf9def43c9078a,1,2,1,32.37
720609547e1e3b8ac4b3dc47ba846525a,1,1,1,66.46
f4ce2fdf151310c50d2cae424eff30b3a,1,1,3,500.64
344be4c763894534b87cb01ee46cd64fa,1,1,3,200.33
b4501b36d5c7558b4364a961168f8bfda,1,2,1,114.74
55a0842ea8508da4c9ef096cbac8bfefa,1,1,4,106.72
f0b96ba79d596f91b5ea273b9183b363a,1,1,2,64.92
c233116df4c703a062081f5dcf4399a0a,1,1,1,53.85
22771f93db288e22caf88967606b3e43a,1,1,8,193.81
4aa1a996d80cacb74d1653b2cf934be0a,1,1,1,51.15
f89be3ed1cd9bd6531cff9ffea1c8546a,2,3,1,30
c1773baeca3e466698f90611606eadeba,1,1,1,66.67
30f9680e12738190e2910a6f914f1703a,1,1,7,158.77
96d921e9bfe801df7426999a566a8aeba,1,1,1,32.37
ef709a4dccff4d7df51305cc4f1ddddea,1,4,1,177.89
ed20b1dad0625f2d7d577cba09798687a,1,1,3,70.55
927ca6bf25d6e13695224ff77dd430eaa,1,2,1,200.36
fce15c105dfcd0ab5e6cc03e4b026167a,1,1,5,142.11
6c425fa161548ce6dcea1ea86b1a65d8a,1,1,2,29.29
6df0e5a8b0965f06d2e1219c846e1ad8a,1,1,1,180.32
bb52ced4489bd747f0cd5a314b973f0ea,1,2,1,53.14
0a3d9f14b1781670b56b1832ba291095a,1,2,1,395.8
63514fae43596b11a770416049c86856a,1,1,9,147.02
fdf50a1f4038ef295b3074224fba8076a,1,1,1,121.08
8cd5a51ae18b8bbcfd46882f77cc98c5a,1,1,8,167.36
69c4fac0dd4defce2f7f1fbf200d25aca,1,2,1,217.86
711394bfbb9d7d943d8de2ddc5f59f23a,1,1,2,109.5
e939b415a638d648a1421b5520b3a28ea,1,1,2,70.49
2b3c4e25e8edee43a664159df5afa3eaa,1,1,15,256.87
ca37c8860a109a0908b33aa5e1d2f2bca,1,1,1,175.29
13f12afcd38859a0ce8e667475326c44a,1,1,3,155.86
7453ef59db78206e7036df2120481509a,1,1,1,127.37
952c3a4510a7db68bfa6a957bdfa0aeba,1,1,1,47.92
71f1ac6ed46b13fb8280074cf2efbc28a,1,1,4,193.22
a771d79ec4b8d059bfb6e773f290cc1da,1,2,1,62.08
9a2701b301b281b74ddeea78e0a24625a,1,1,10,122.1
ef02b499ada182fc2a48dd525cb062c0a,1,1,1,58.37
07758ed400d130462900b1f68d042ee7a,1,1,18,272.59
c9365b99c90ef6473a7d9cda98faee6aa,1,1,1,49.53
846e81ab8aae6ab83de10e8f3df527d4a,1,2,1,299.96
295c561af8870661a833aaeb65574d0da,1,1,2,52.61
64983642eb3a25ca54f4786f830b1d0fa,1,1,1,85.7
6638eba9b5e3a5a8342e07e8f2d32637a,1,1,8,245.5
d2c902f172e80f22126d53d9ff7871b2a,2,4,1,62.65
aee682982e18eb4714ce9f97b15af5e2a,1,2,1,128.04
eaac284918a0bae18197faef197f83e0a,1,1,3,61.32
2a3510ed79746b2668793262896d3aa3a,1,1,1,91.23
9e0ce3f44bcfc81171be7c5362887b80a,1,1,3,75.99
bcb07b4577d1cb52bafc1b1b0c51c47ea,1,1,1,27.7
06cc5452c0a830d345b93a5385ee310ea,1,2,1,15.38
e215d6f06aeb94e2f6359a86e58dd39ca,1,1,5,263.85
09ddda124332d6c2489fba71284be7b6a,2,3,1,67.88
85c515e575c1c602e0d8aec66e8f9574a,1,1,6,68.05
87419a86fe457c6ff665b6d0b41f7c7aa,1,2,1,54.33
1db9339678cf38d54dc39bd43d7de673a,1,1,10,137.98
0978aeeb31e430bca8401306d75a8164a,1,1,1,93.28
1329f69c4d3811f5a7bc6be850089a0da,1,2,1,203.09
510a5c60f473c07f3cb21d6506c0b4baa,1,1,8,199.36
5fdc93e450ccb779c5d594b36f99bc04a,1,1,1,79.6
d8193633632c69edb143c6f25250fbc9a,1,1,1,37.84
b899a41fdae17968d357d705b073a5cea,1,1,3,247.7
4c8ec3cddd2db163e7cf2d6b1996629ea,1,1,4,206.56
a58298b548a97e743824ca6c1dcb6b95a,1,1,3,219.5
1f42f4d540bb667dcd3bde1a50c9e442a,1,1,3,115.48
baed86a91c339967d46120d4a10038fda,1,1,2,171.45
9ddf2a1cb3163c05aa196a8e43336bfda,1,1,1,46.2
92feb19a2b63573984951463f3c2935da,1,1,5,455.81
e1bee8e7f813a2a119a1296c6fafdad7a,1,1,1,160.79
db6dae09bac5138ab59b6d6c0a1c5284a,1,2,1,57.55
5aae98560d0aff8d326d8f5767979e22a,1,2,1,142.87
1ecf7a9583c0f92f07515fcd970004f2a,1,4,1,179.57
737e75dc8fad86ce2b5b41377a28dac5a,1,1,2,153.23
dd0f4670de46d15e75e42d522cb73443a,1,1,2,31.33
152c82feee7072e62c6496ad13cc188da,1,1,1,61.96
0abe0832bcbe8e17c2ee4b5b9fd05216a,1,1,2,96.74
2c5694feea13be5112a5023228135940a,1,1,10,426.39
b047b314bbfa89e4a830fbdba55c7afda,1,1,10,188.55
cb6d51404fcdab7e80ad648d73edf4c9a,1,2,1,37.69
afe99ae914ade8c6cc4b6bb2db33070da,1,1,3,75.4
c976316357b5231d511f0a03999aa84fa,1,1,5,58.29
0005f50442cb953dcd1d21e1fb923495a,1,1,1,65.39
cc232fbf0724fb3e0289215b02b57707a,1,1,8,101.25
2ec51579f21b9d6da3f417e7ccea378da,1,1,1,137.73
c1deab56eafcb4bec7703bbe7bd25137a,3,3,1,43.19
411282320ee1ea91c2fc8351aee73b05a,1,1,2,189.69
611793bc968aac5d1a9c623d1ab8aea6a,1,1,1,144.82
acb9483767af8d8e1255d83531c25fe3a,1,2,1,63.31
c0c1604ce9151fcb3b655d3bb0caf670a,1,2,1,165.4
128a17800e8fc3801c814f3f921418b0a,1,2,1,68.96
0dfe811c6d5e59581eb93ef96fc13d72a,1,2,1,83.13
663d6f01237b7d9d1257bd3ce460af4ba,1,2,1,163.9
b8eddc75e14deb94310c124b0458c626a,1,1,6,76.74
c50e5904b30d219f4f9b89ead3bab5eda,1,1,4,231.17
13c208c7221faed9cb7ac326a6f873daa,1,1,10,139.69
db8a99e0ff1f9fc4a61e0e5567b5467ca,1,1,2,41.85
ac17381858c4d8a612eb5a12659134afa,1,2,1,157.24
c5a4102c4979beb7f062d7ad384cdac0a,1,1,8,172.16
8cd863c5d05bcd7ee0e77483f1ec15e9a,1,3,1,85.81
847ccc5f89e0b4539959c0d02d548b88a,1,1,1,43.41
639c3cf682625ef18cf4539bcb0e510aa,1,2,1,104.98
9b27eb18bad871c8d32a8dbd13e4f5b7a,1,4,1,103.3
