Id_Geolocalizacion,zip_code_prefix,Latitud,Longitud,Ciudad,Estado
0,1001,-23.550189776551765,-46.6340235559042,sao paulo,sp
1,1002,-23.54814573176355,-46.63497921074498,sao paulo,sp
2,1003,-23.54899372481316,-46.635731309975874,sao paulo,sp
3,1004,-23.549798842277006,-46.63475694378971,sao paulo,sp
4,1005,-23.549456199830747,-46.63673294803691,sao paulo,sp
5,1006,-23.55010181145287,-46.636136735174176,sao paulo,sp
6,1007,-23.550046202351663,-46.637251459637646,sao paulo,sp
7,1008,-23.54600174938346,-46.63588592135778,sao paulo,sp
8,1009,-23.546835208320868,-46.636490695312204,sao paulo,sp
9,1010,-23.54638943836927,-46.635226081509046,sao paulo,sp
10,1011,-23.54690864025111,-46.63558202636042,sao paulo,sp
11,1012,-23.547789733146864,-46.63485900505736,são paulo,sp
12,1013,-23.5471420283239,-46.63423580006204,sao paulo,sp
13,1014,-23.545912805690417,-46.63361537124495,sao paulo,sp
14,1015,-23.54766574938348,-46.63155857072268,sao paulo,sp
15,1016,-23.54897640702995,-46.63235192955855,sao paulo,sp
16,1017,-23.54953127194786,-46.63102384555224,são paulo,sp
17,1018,-23.550928517909007,-46.63243146837755,sao paulo,sp
18,1019,-23.551774137807584,-46.63089338270138,sao paulo,sp
19,1020,-23.55233565155142,-46.630049709845736,são paulo,sp
20,1021,-23.543000459064807,-46.63214323386248,sao paulo,sp
21,1022,-23.544921826153427,-46.631931335611945,sao paulo,sp
22,1023,-23.542330784361457,-46.63137340438761,sao paulo,sp
23,1024,-23.54140143278026,-46.62990400057277,são paulo,sp
24,1025,-23.540291945676326,-46.630928059419446,sao paulo,sp
25,1026,-23.539657127270942,-46.6318842127058,são paulo,sp
26,1027,-23.538082328385336,-46.6306686750678,sao paulo,sp
27,1028,-23.535932541180536,-46.63355514575825,sao paulo,sp
28,1029,-23.54137304898053,-46.63341598844303,sao paulo,sp
29,1030,-23.53954929175343,-46.633023251513535,são paulo,sp
30,1031,-23.54190585344045,-46.63508761691669,sao paulo,sp
31,1032,-23.540124454559955,-46.63519354379768,sao paulo,sp
32,1033,-23.539271437077804,-46.635878084214845,sao paulo,sp
33,1034,-23.542515317419948,-46.63736744880091,sao paulo,sp
34,1035,-23.541614488738944,-46.64154914252652,sao paulo,sp
35,1036,-23.541648452336283,-46.641443277359336,sao paulo,sp
36,1037,-23.54541101645408,-46.63892437204838,sao paulo,sp
37,1038,-23.543907379627683,-46.63999380609391,sao paulo,sp
38,1039,-23.54137085777194,-46.63916528885119,sao paulo,sp
39,1040,-23.541028179008823,-46.63832469496941,sao paulo,sp
40,1041,-23.54390458746036,-46.64004648644472,sao paulo,sp
41,1042,-23.54485294953175,-46.640410456031695,sao paulo,sp
42,1043,-23.545765991186386,-46.64150246454141,são paulo,sp
43,1044,-23.545598238423416,-46.64145267015315,sao paulo,sp
44,1045,-23.54234536617856,-46.64252697570119,sao paulo,sp
45,1046,-23.54593003916881,-46.64399751778182,sao paulo,sp
46,1047,-23.546187607081748,-46.64106743356167,sao paulo,sp
47,1048,-23.54711318884073,-46.63983987489639,são paulo,sp
48,1049,-23.54701123674601,-46.63916570493306,sao paulo,sp
49,1050,-23.54922916358051,-46.64303023455153,sao paulo,sp
50,1101,-23.528286860378213,-46.631957535031056,sao paulo,sp
51,1102,-23.52557140695574,-46.63028748439394,são paulo,sp
